Hour,Diesel,Sim_Load
838,,2491.2446631111843
839,,2353.6985389243746
840,,2235.450193688961
841,,2132.095050481352
842,,2082.220468154844
843,,2053.9744792006527
844,,2033.5873830071794
845,,2045.958054506601
846,,2106.831886903651
847,,2229.0959343823974
848,,2370.5144227720903
849,,2460.6513781670965
850,,2521.077654129054
851,,2698.611872318377
852,,2668.4544435986595
853,,2576.9278176571884
854,,2579.104354973616
855,,2632.289267571868
856,,2759.7169865231654
857,,2889.0442535152233
858,,2857.3959598963843
859,,2729.9121734145856
860,,2654.2271726904805
861,,2585.532843000483
862,,2499.4425368822244
863,,2359.531209024251
864,,2228.535761560395
865,,2150.724396774824
866,,2089.1117911490087
867,,2063.297764038633
868,,2038.4991090492483
869,,2055.7209918770286
870,,2130.6101772504167
871,,2227.98415196533
872,,2376.434829038626
873,,2466.361814233005
874,,2537.9363043949647
875,,2680.4676479164123
876,,2660.192642298522
877,,2571.295625194109
878,,2581.7328510205175
879,,2633.082537878768
880,,2762.0956772417735
881,,2882.7111890295173
882,,2886.5573067887835
883,,2736.7710990403807
884,,2633.827164287035
885,,2569.400970693829
886,,2484.3284211198625
887,,2350.8785426493764
888,,2231.602432745007
889,,2144.8483390019337
890,,2086.7122304178865
891,,2059.718344062328
892,,2042.7953024407589
893,,2052.695734390271
894,,2098.834216587088
895,,2188.091194222711
896,,2299.798478247216
897,,2397.072011549933
898,,2493.238979076877
899,,2626.680389481283
900,,2627.071858614013
901,,2537.415265213416
902,,2552.463871821612
903,,2582.38324929911
904,,2730.475500788781
905,,2863.845407569237
906,,2827.2918280247573
907,,2707.8652358265535
908,,2635.5731432990415
909,,2581.590537717104
910,,2497.6157813026502
911,,2369.5560263427064
912,,2245.6812933520355
913,,2156.7715388911665
914,,2096.8235194947088
915,,2055.6436833593257
916,,2036.9283082132479
917,,2038.1416409716403
918,,2087.073182398698
919,,2149.4746965725167
920,,2223.5385425440927
921,,2344.395982733574
922,,2412.43106173298
923,,2566.2212514449375
924,,2543.153846102173
925,,2474.097589900037
926,,2486.801318509177
927,,2538.248169564327
928,,2626.559917371224
929,,2773.876558075835
930,,2756.2402941484143
931,,2659.490037345833
932,,2592.0653602938905
933,,2534.673554998594
934,,2459.7492728536913
935,,2341.067365222202
936,,2219.9498049707554
937,,2136.1660088546846
938,,2087.1882277308964
939,,2043.262168435913
940,,2023.5489357783042
941,,2027.810935943093
942,,2062.054229101926
943,,2120.6782797013475
944,,2187.105480164921
945,,2298.487532797355
946,,2379.7774648958944
947,,2531.437061220954
948,,2532.430964167873
949,,2475.985219381923
950,,2474.6964067512617
951,,2498.1278469038566
952,,2590.024831558435
953,,2730.149090125936
954,,2715.868659292568
955,,2609.2848484944734
956,,2534.853659448013
957,,2461.869287007096
958,,2385.7345731965925
959,,2267.502487355835
960,,2146.9888665077733
961,,2063.9575630696168
962,,2016.130948575112
963,,1979.3088709639792
964,,1964.228787227835
965,,1976.7977965740968
966,,2022.15116402252
967,,2099.1534854486013
968,,2194.5943643339397
969,,2310.957330791556
970,,2384.644051834291
971,,2532.854810688219
972,,2506.544765977743
973,,2431.0196511318945
974,,2446.9899613072475
975,,2484.103096544181
976,,2596.5526523498224
977,,2751.1839685766186
978,,2759.970790405141
979,,2649.2748134239882
980,,2583.321481533709
981,,2523.021140839692
982,,2450.9670872358656
983,,2300.775846663218
984,,2175.299644122667
985,,2080.7250724217447
986,,2047.2578024804993
987,,2002.3072983026261
988,,1985.8430356286688
989,,2013.5669458012217
990,,2081.8292058050592
991,,2189.78680686116
992,,2332.0445468036883
993,,2415.940850052945
994,,2475.0311920994245
995,,2631.3836456040744
996,,2610.2964065200813
997,,2510.1911043755695
998,,2509.985893792701
999,,2575.5640059992347
1000,,2681.2042536950626
1001,,2857.675951959326
1002,,2856.651624977122
1003,,2739.7630895893985
1004,,2679.076607626842
1005,,2591.876714276092
1006,,2496.3693902094124
1007,,2351.6926727610207
1008,,2219.290017451145
1009,,2119.610845154262
1010,,2070.4655600615165
1011,,2036.8833843796308
1012,,2020.9961403574118
1013,,2028.1820855235583
1014,,2105.02045890318
1015,,2213.9615524069636
1016,,2374.8124464846937
1017,,2464.5494180234978
1018,,2511.4400625749026
1019,,2657.935558560011
1020,,2616.584397333348
1021,,2517.7041689815114
1022,,2509.3374435162964
1023,,2552.7712119570842
1024,,2653.938741363589
1025,,2825.0469489161214
1026,,2847.5722642552814
1027,,2720.3380705314717
1028,,2628.3202853504417
1029,,2570.8986957146285
1030,,2474.920839980797
1031,,2334.0305059140946
1032,,2198.9871500100594
1033,,2110.502763718497
1034,,2045.5474325691641
1035,,2008.334197508101
1036,,1989.085481178819
1037,,2011.775120679609
1038,,2078.7307491521315
1039,,2162.501990501593
1040,,2318.1819468247018
1041,,2417.276270534504
1042,,2482.8274226837602
1043,,2633.289597942515
1044,,2588.176745831222
1045,,2487.4229115494236
1046,,2496.275131226654
1047,,2551.533988330773
1048,,2627.824005874288
1049,,2783.294580387136
1050,,2818.2828512971346
1051,,2682.6694543273934
1052,,2604.2464059303725
1053,,2543.03478978906
1054,,2453.5490230442842
1055,,2310.9548645052882
1056,,2190.690744642858
1057,,2103.168479558456
1058,,2060.043517620314
1059,,2018.1799996870652
1060,,1989.2129499423804
1061,,2002.6083704410376
1062,,2044.725515675816
1063,,2106.0994389704497
1064,,2232.2313798441487
1065,,2331.130094443805
1066,,2411.533996294708
1067,,2550.248701380025
1068,,2546.337244771443
1069,,2470.2527440530384
1070,,2489.9653749762556
1071,,2504.2830656877395
1072,,2577.1329395315697
1073,,2723.422317102485
1074,,2752.5856017832593
1075,,2640.8565456525307
1076,,2554.790261545639
1077,,2486.7063807600084
1078,,2421.2123733426706
1079,,2303.084834119701
1080,,2188.533936866039
1081,,2096.7837116709634
1082,,2040.618387119945
1083,,2001.9205436002226
1084,,1986.1453395230192
1085,,1990.5787410575226
1086,,2036.9443465887161
1087,,2068.4779129716744
1088,,2159.249110623849
1089,,2253.558750113125
1090,,2330.6868785494244
1091,,2482.689621731368
1092,,2496.566856859293
1093,,2420.599852382727
1094,,2425.750868041124
1095,,2454.9656132961104
1096,,2535.1839768707614
1097,,2700.8465566069954
1098,,2695.026444765109
1099,,2590.993773166371
1100,,2534.846774951637
1101,,2477.281145192889
1102,,2399.7539601648555
1103,,2275.8966217618467
1104,,2167.4583171699887
1105,,2089.198921192083
1106,,2033.1974591098713
1107,,2000.9370671965967
1108,,1977.049176304593
1109,,1989.5498654844705
1110,,2021.9714750988092
1111,,2062.537344833369
1112,,2143.0487796842417
1113,,2240.355808945151
1114,,2328.5830061073507
1115,,2451.626035286569
1116,,2461.987898421596
1117,,2397.7794790750627
1118,,2398.0421356336647
1119,,2431.967909369985
1120,,2517.990208840469
1121,,2693.2137538520738
1122,,2703.027339249463
1123,,2593.8243148512643
1124,,2516.1188240701704
1125,,2483.997110894329
1126,,2392.2587328348486
1127,,2278.681223865821
1128,,2159.8115595034624
1129,,2082.786689682656
1130,,2028.326535544936
1131,,1995.7054978628646
1132,,1974.3927199813247
1133,,1987.6549794882524
1134,,2039.6840248926349
1135,,2094.7276529745086
1136,,2217.293289080541
1137,,2304.607903189418
1138,,2366.41379519061
1139,,2500.1414255232776
1140,,2495.4973281967386
1141,,2428.55563408035
1142,,2424.7002626182243
1143,,2463.378587301139
1144,,2543.4544110991524
1145,,2719.31522630169
1146,,2744.883673842402
1147,,2617.079326024256
1148,,2560.4289332676262
1149,,2487.1870445908394
1150,,2412.6408791508543
1151,,2271.8308656205295
1152,,2136.691220855032
1153,,2052.0531175362835
1154,,2013.2977254404686
1155,,1984.8166696611001
1156,,1959.7286910902512
1157,,1981.5231955595727
1158,,2044.7684511976804
1159,,2135.090114130835
1160,,2293.1765441633647
1161,,2377.937692895279
1162,,2452.1564353191948
1163,,2591.1428685053343
1164,,2553.03741471762
1165,,2463.775225332149
1166,,2482.484694942883
1167,,2518.8373317233595
1168,,2590.736271497866
1169,,2769.5129718010658
1170,,2820.2671551937615
1171,,2684.7930539696836
1172,,2601.9870973485063
1173,,2535.4537981868025
1174,,2434.126509396986
1175,,2294.2446750814183
1176,,2159.169669865167
1177,,2065.58873259451
1178,,2023.481663539256
1179,,1991.3371214843985
1180,,1970.924028039083
1181,,1994.8130495395535
1182,,2057.9135016022246
1183,,2156.3827310976803
1184,,2304.4169016525257
1185,,2395.58307830617
1186,,2460.5047013235817
